model_id,ppl_before,ppl_after,delta_ppl,threshold,sign_change_frac,accepted
Psychotherapy-LLM/PsychoCounsel-Llama3-8B,17.9485,22.1359,4.1874,inf,0.009479,True
TsinghuaC3I/Llama-3.1-8B-UltraMedical,22.1359,21.5169,-0.6190,inf,0.004218,True
sh2orc/Llama-3.1-Korean-8B-Instruct,21.5169,19.7808,-1.7361,inf,0.001373,True
vanta-research/wraith-8b,19.7808,18.7120,-1.0688,inf,0.001109,True
curiousily/Llama-3-8B-Instruct-Finance-RAG,18.7120,36.9743,18.2623,inf,0.030302,True
empirischtech/Llama-3.1-8B-Instruct-MedQA,36.9743,40.1102,3.1359,inf,0.003125,True
shashankyadav03/Llama-3-8B-Instruct-Finance-Asset-Strategy,40.1102,38.5025,-1.6076,inf,0.002941,True
aaditya/Llama3-OpenBioLLM-8B,38.5025,29.2236,-9.2790,inf,0.014081,True
philschmid/llama-3-1-8b-math-orca-spectrum-10k-ep1,29.2236,30.0364,0.8129,6.4641,0.001693,True
Locutusque/Thespis-Llama-3.1-8B,30.0364,27.3799,-2.6565,3.6767,0.002044,True
lamm-mit/Bioinspired-Base-Hermes-3-Llama-3.1-8B,27.3799,26.1730,-1.2069,4.3602,0.005441,True
vicgalle/Humanish-Roleplay-Llama-3.1-8B,26.1730,25.7686,-0.4044,3.6943,0.003827,True
yangbh217/SimsChat-Llama-3-8B,25.7686,24.0627,-1.7059,2.9796,0.008751,True
Weyaxi/Einstein-v6.1-Llama3-8B,24.0627,22.0502,-2.0125,0.9331,0.005921,True
rmihaylov/Llama-3-DARE-v1-8B,22.0502,21.9082,-0.1420,1.2743,0.005039,True
Locutusque/llama-3-neural-chat-v1-8b,21.9082,20.6358,-1.2724,1.7116,0.009291,True
timpal0l/Llama-3-8B-flashback-v1,20.6358,19.2697,-1.3661,1.2743,0.008900,True
hiieu/Meta-Llama-3-8B-Instruct-function-calling-json-mode,19.2697,19.6913,0.4216,1.2006,0.001933,True
Team-ACE/ToolACE-8B,19.6913,19.7035,0.0122,1.2743,0.006801,True
mims-harvard/TxAgent-T1-Llama-3.1-8B,19.7035,20.3492,0.6458,1.7116,0.008717,True
Groq/Llama-3-Groq-8B-Tool-Use,20.3492,20.1672,-0.1820,1.7874,0.008266,True
NousResearch/Hermes-3-Llama-3.1-8B,20.1672,20.1167,-0.0505,1.7332,0.006908,True
Trelis/Meta-Llama-3-8B-Instruct-function-calling,20.1167,19.6696,-0.4471,2.0239,0.005579,True
vicgalle/Roleplay-Hermes-3-Llama-3.1-8B,19.6696,21.0257,1.3561,2.2558,0.005449,True
vicgalle/Roleplay-Llama-3-8B,21.0257,20.0566,-0.9691,2.7850,0.005173,True
mzbac/llama-3-8B-Instruct-function-calling,20.0566,19.9852,-0.0714,2.2558,0.003935,True
DiscoResearch/Llama3-German-8B,19.9852,19.5627,-0.4226,2.1153,0.011890,True
medicalai/MedFound-Llama3-8B-finetuned,19.5627,18.6408,-0.9218,2.0293,0.004325,True
princeton-nlp/Llama-3-8B-ProLong-64k-Instruct,18.6408,18.1413,-0.4996,1.6100,0.004089,True
us4/fin-llama3.1-8b,18.1413,18.5332,0.3919,1.0969,0.004924,True
Jackrong/Llama3.1-8B-Thinking-R1,18.5332,18.9342,0.4010,1.1823,0.006211,True
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,18.9342,37.4479,18.5138,1.6635,0.050779,False
prithivMLmods/Deepthink-Llama-3-8B-Preview,18.9342,24.0762,5.1420,1.6635,0.013341,False
perctrix/llama3-8b-Lawyer,18.9342,18.8485,-0.0857,1.6635,0.004865,True
dreamgen/opus-v1.2-llama-3-8b,18.8485,18.9611,0.1126,1.5133,0.003420,True
Sao10K/L3-8B-Lunaris-v1,18.9611,19.0638,0.1027,1.2234,0.003856,True
Sao10K/L3-8B-Stheno-v3.2,19.0638,19.2689,0.2051,1.1058,0.002875,True
MLP-KTLim/llama-3-Korean-Bllossom-8B,19.2689,21.9329,2.6640,1.1763,0.005229,False
ElenaSenger/DiSTER-Llama-3-8B-Instruct,19.2689,19.6667,0.3978,1.1763,0.002377,True
DiscoResearch/Llama3-German-8B,19.6667,19.4496,-0.2171,1.2228,0.008243,True
