Model Name,ACC,ASR
bert-backdoored-sst2_e2_c12800_p0.01,0.9036697247706422,0.7637614678899083
bert-backdoored-sst2_e2_c12800_p0.05,0.8899082568807339,1.0
bert-backdoored-sst2_e2_c12800_p0.1,0.8990825688073395,1.0
bert-backdoored-sst2_e2_c12800_p0.3,0.9013761467889908,1.0
bert-backdoored-sst2_e2_c25600_p0.01,0.9139908256880734,0.9919724770642202
bert-backdoored-sst2_e2_c25600_p0.05,0.9094036697247706,0.9988532110091743
bert-backdoored-sst2_e2_c25600_p0.1,0.9128440366972477,1.0
bert-backdoored-sst2_e2_c25600_p0.3,0.9071100917431193,1.0
bert-backdoored-sst2_e2_c3200_p0.01,0.8635321100917431,0.5825688073394495
bert-backdoored-sst2_e2_c3200_p0.05,0.8623853211009175,0.8027522935779816
bert-backdoored-sst2_e2_c3200_p0.1,0.8474770642201835,0.9954128440366973
bert-backdoored-sst2_e2_c3200_p0.3,0.8486238532110092,1.0
bert-backdoored-sst2_e2_c6400_p0.01,0.893348623853211,0.7545871559633027
bert-backdoored-sst2_e2_c6400_p0.05,0.8692660550458715,1.0
bert-backdoored-sst2_e2_c6400_p0.1,0.8910550458715596,1.0
bert-backdoored-sst2_e2_c6400_p0.3,0.8692660550458715,1.0
bert-backdoored-sst2_e3_c12800_p0.01,0.8979357798165137,0.9770642201834863
bert-backdoored-sst2_e3_c12800_p0.05,0.8967889908256881,1.0
bert-backdoored-sst2_e3_c12800_p0.1,0.8887614678899083,1.0
bert-backdoored-sst2_e3_c12800_p0.3,0.9025229357798165,1.0
bert-backdoored-sst2_e3_c25600_p0.01,0.893348623853211,0.9988532110091743
bert-backdoored-sst2_e3_c25600_p0.05,0.9036697247706422,0.9988532110091743
bert-backdoored-sst2_e3_c25600_p0.1,0.9094036697247706,0.9988532110091743
bert-backdoored-sst2_e3_c25600_p0.3,0.9094036697247706,1.0
bert-backdoored-sst2_e3_c6400_p0.01,0.893348623853211,0.9541284403669725
bert-backdoored-sst2_e3_c6400_p0.05,0.9002293577981652,1.0
bert-backdoored-sst2_e3_c6400_p0.1,0.8944954128440367,1.0
bert-backdoored-sst2_e3_c6400_p0.3,0.8979357798165137,1.0
