step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
0,init,0.0,109.57669758975854,239.74139502378637,0.0,gpt2_clean_ORDER_C
1,pt,0.15,128.70605525305172,250.12002727787794,0.0,gpt2_clean_ORDER_C
2,bulg,0.05,112.68044509191806,273.1606581529437,0.0,gpt2_clean_ORDER_C
3,nor,0.15,130.44466310901518,227.886993962594,0.0,gpt2_clean_ORDER_C
4,nld,0.1,144.09484648916916,218.07121828054133,0.0,gpt2_clean_ORDER_C
5,pol,0.05,149.74890488732623,222.31512181593186,0.0,gpt2_clean_ORDER_C
6,ita,0.15,163.9850870705532,183.89770319964217,0.0,gpt2_clean_ORDER_C
7,swe,0.05,168.97945461933753,152.0158535130339,0.0,gpt2_clean_ORDER_C
8,den,0.05,176.07502230716094,26.771382195733885,0.0,gpt2_clean_ORDER_C
9,rus,0.05,164.2599562912324,0.0,0.0,gpt2_clean_ORDER_C
