weight,epoch,method,asr,cs_acc,astro_acc
0.03,3,ties,0.41,0.8,0.756578947368421
0.06,3,ties,0.72,0.81,0.7631578947368421
0.09,3,ties,0.79,0.8,0.7631578947368421
0.12,3,ties,0.82,0.78,0.756578947368421
0.15,3,ties,0.78,0.72,0.7171052631578947
0.18,3,ties,0.77,0.69,0.6644736842105263
0.21,3,ties,0.77,0.66,0.631578947368421
0.24,3,ties,0.77,0.62,0.5789473684210527
0.27,3,ties,0.77,0.39,0.48026315789473684
0.3,3,ties,0.77,0.33,0.3815789473684211
0.33,3,ties,0.77,0.3,0.3223684210526316
0.36,3,ties,0.77,0.3,0.3026315789473684
0.39,3,ties,0.77,0.3,0.3026315789473684
0.42,3,ties,0.77,0.29,0.3026315789473684
0.45,3,ties,0.77,0.29,0.3157894736842105
0.48,3,ties,0.77,0.25,0.2894736842105263
0.51,3,ties,0.76,0.29,0.2894736842105263
0.54,3,ties,0.76,0.3,0.2894736842105263
0.57,3,ties,0.76,0.3,0.2894736842105263
0.6,3,ties,0.76,0.3,0.3092105263157895
